   # ticker        messages        MB     cumMB
   1 TQQQ         5,846,895    174.09    174.09
   2 QQQ          5,309,242    158.48    332.56
   3 SPY          4,807,601    143.62    476.18
   4 IWM          3,635,280    108.94    585.13
   5 AAPL         2,451,672     74.45    659.57
   6 XELA         2,166,928     67.02    726.60
   7 MSFT         2,158,118     64.81    791.41
   8 DIA          2,089,842     62.45    853.86
   9 AMD          1,796,395     53.87    907.73
  10 IVV          1,587,689     47.46    955.19
  11 XLY          1,587,406     47.00   1002.19
  12 UVXY         1,563,364     46.70   1048.89
  13 QLD          1,420,074     42.46   1091.35
  14 IJH          1,438,991     42.19   1133.54
  15 XLK          1,380,957     41.18   1174.72
  16 TLT          1,360,864     40.80   1215.52
  17 VXX          1,358,103     40.65   1256.17
  18 SPXL         1,350,831     40.58   1296.74
  19 AMC          1,302,517     40.01   1336.75
  20 SMH          1,317,045     39.24   1375.99
  21 TNA          1,214,229     36.98   1412.97
  22 SH           1,206,564     35.79   1448.76
  23 XBI          1,195,121     35.48   1484.24
  24 MU           1,172,416     35.28   1519.52
  25 QQQM         1,180,902     35.02   1554.54
  26 XLI          1,140,960     34.13   1588.68
  27 XLB          1,117,978     33.39   1622.06
  28 NIO          1,099,035     33.10   1655.16
  29 IJR          1,092,297     32.89   1688.05
  30 UPRO         1,090,733     32.83   1720.89
  31 TSLA         1,051,965     32.53   1753.41
  32 XLE          1,069,714     32.04   1785.46
  33 SPCE           985,819     30.18   1815.64
  34 GLD          1,003,891     29.85   1845.49
  35 XOP          1,010,845     29.78   1875.26
  36 IWD            997,229     29.51   1904.77
  37 IYR            968,981     29.09   1933.85
  38 SLB            966,012     28.81   1962.66
  39 MDY            964,563     28.51   1991.17
  40 VOO            929,298     28.02   2019.19
  41 IWN            941,243     27.89   2047.08
  42 VTI            912,575     27.03   2074.11
  43 KRE            894,329     26.82   2100.94
  44 IWF            896,222     26.59   2127.53
  45 FB             865,837     26.38   2153.90
  46 C              860,696     25.90   2179.80
  47 TLRY           859,684     25.80   2205.60
  48 BABA           840,435     25.65   2231.25
  49 XLV            849,132     25.36   2256.62
  50 CVX            843,613     25.14   2281.76
  51 MT             852,835     25.06   2306.82
  52 AZN            840,832     25.06   2331.88
  53 BAC            828,734     25.03   2356.91
  54 SOXL           825,311     24.77   2381.68
  55 XLNX           807,459     23.96   2405.64
  56 GUSH           792,064     23.81   2429.45
  57 XLC            801,825     23.81   2453.25
  58 JPM            786,192     23.75   2477.00
  59 PYPL           783,151     23.73   2500.73
  60 FAS            797,807     23.65   2524.38
  61 TZA            777,972     23.49   2547.88
  62 WFC            776,799     23.42   2571.30
  63 JD             770,639     23.32   2594.62
  64 GM             770,918     23.20   2617.82
  65 STM            778,149     23.00   2640.82
  66 MS             764,245     22.96   2663.78
  67 EWZ            765,875     22.95   2686.73
  68 INTC           754,734     22.79   2709.52
  69 VALE           752,809     22.41   2731.93
  70 VNQ            750,158     22.36   2754.29
  71 X              742,523     22.25   2776.54
  72 UAL            731,318     22.05   2798.60
  73 DIS            721,493     21.84   2820.44
  74 RIO            727,000     21.49   2841.93
  75 SOXX           718,593     21.47   2863.40
  76 FITB           711,816     21.42   2884.82
  77 KBE            715,669     21.35   2906.17
  78 SSO            704,729     21.32   2927.49
  79 XOM            708,351     21.28   2948.76
  80 PSQ            711,767     21.06   2969.82
  81 AHPI           636,107     20.77   2990.59
  82 AAL            677,165     20.39   3010.99
  83 RDS.A          689,654     20.37   3031.36
  84 SVXY           669,127     20.03   3051.39
  85 PLUG           659,775     20.00   3071.40
  86 VIXY           668,265     19.97   3091.36
  87 SQQQ           658,663     19.78   3111.14
  88 SAP            674,672     19.67   3130.81
  89 GDX            646,585     19.28   3150.09
  90 ITB            647,081     19.25   3169.34
  91 OXY            629,277     18.93   3188.27
  92 CCL            627,328     18.91   3207.18
  93 AMAT           620,897     18.67   3225.84
